Metric,Mean,Std
macro avg precision,0.7790476190476191,0.3132652987362154
macro avg recall,0.7733333333333334,0.303021818063027
macro avg f1-score,0.7718026418026417,0.3029518532525414
weighted avg precision,0.7807792207792208,0.31304399737520633
weighted avg recall,0.7727272727272727,0.3042400096487547
weighted avg f1-score,0.7724164724164725,0.3036848269767458
