Metric,Mean,Std
macro avg precision,0.3286760339763436,0.1917023432049368
macro avg recall,0.5031347962382445,0.012539184952978033
macro avg f1-score,0.38763830382099795,0.11230507517948213
weighted avg precision,0.3579994549589305,0.17106166157794425
weighted avg recall,0.5590588235294118,0.017563024316584606
weighted avg f1-score,0.42741313691254235,0.0954329555851093
